epoch,loss,mae,val_loss,val_mae
0,0.014163629820437304,0.014163627,0.011332948971539736,0.011332947760820389
1,0.010063047276344151,0.010063048,0.009487543196883053,0.009487542323768139
2,0.008653761078936182,0.008653761,0.008765449014026672,0.008765448816120625
3,0.007236779131926596,0.0072367797,0.013140442874282598,0.013140442781150341
4,0.007033026622541781,0.007033027,0.0074007399147376415,0.007400739938020706
5,0.006322114177913006,0.0063221147,0.00814321597572416,0.008143216371536255
6,0.005715037636192782,0.005715037,0.007268312806263566,0.007268312852829695
7,0.00550677462846839,0.005506774,0.00601742131402716,0.006017420906573534
8,0.005311423578366105,0.005311425,0.006300163152627647,0.006300162989646196
9,0.005060782064018505,0.005060782,0.005907712143380195,0.005907712038606405
10,0.00480075388581359,0.004800754,0.00628750555915758,0.006287505384534597
11,0.004410436850905951,0.004410437,0.005760895204730332,0.005760895553976297
12,0.0046382413611614276,0.0046382407,0.007854032213799655,0.007854032330214977
13,0.00439533069729805,0.004395331,0.006464259675703942,0.006464259698987007
14,0.004124219600843,0.0041242195,0.005648698471486568,0.005648698657751083
15,0.004142589073827756,0.0041425885,0.005469811806688085,0.0054698120802640915
16,0.003975701628951356,0.0039757015,0.005415470444131642,0.00541547080501914
17,0.003920897229441575,0.0039208974,0.0059032483375631275,0.005903248209506273
18,0.004103358651212017,0.004103359,0.005472530913539231,0.005472531542181969
19,0.0037003867386374623,0.0037003874,0.006895786826498806,0.00689578615128994
20,0.003953835928613054,0.0039538364,0.005446471669711172,0.005446472205221653
21,0.003930328050461997,0.003930329,0.00600020750425756,0.006000207271426916
22,0.0036872340881797883,0.003687234,0.00576621585059911,0.005766216665506363
23,0.0038501482115991946,0.0038501483,0.005317451199516654,0.005317451432347298
24,0.004029597871704027,0.004029598,0.005155241402098909,0.005155242048203945
25,0.003624723045920421,0.003624723,0.0052545455400832,0.005254545249044895
26,0.003594525660654264,0.0035945256,0.006544566107913851,0.006544566247612238
27,0.0035510837873776574,0.0035510836,0.0059480093768797815,0.005948008969426155
28,0.0037798095403039564,0.0037798095,0.005687255912926048,0.005687256343662739
29,0.0036190397388833973,0.0036190397,0.005545701447408647,0.005545701831579208
