epoch,loss,mae,val_loss,val_mae
0,0.015381274718259062,0.015381271,0.014137507742270827,0.014137506484985352
1,0.014981749401028668,0.014981752,0.014060460077598692,0.014060460962355137
2,0.013710194885996835,0.013710195,0.014738342072814704,0.01473834179341793
3,0.013632792846432753,0.013632793,0.014209703914821148,0.014209704473614693
4,0.013268880233434694,0.01326888,0.014084047358483075,0.014084046706557274
5,0.01300728976992624,0.0130072925,0.014959648344665765,0.014959648251533508
6,0.013124719145707786,0.0131247165,0.014051015302538872,0.014051014557480812
7,0.01269630924465933,0.012696307,0.014690501894801856,0.014690502546727657
8,0.011879385548776813,0.0118793845,0.014275557408109308,0.014275557361543179
9,0.010362255443552775,0.010362256,0.014254599949344993,0.014254599809646606
10,0.008781397572186376,0.008781397,0.015410609310492873,0.015410610474646091
11,0.007911473133468202,0.007911473,0.015299072721973062,0.015299073420464993
12,0.007144170299371971,0.00714417,0.014905653847381472,0.014905654825270176
13,0.006725013507197478,0.006725014,0.015304392483085395,0.015304389409720898
14,0.006276198479879115,0.0062761987,0.015352952480316161,0.015352951362729073
15,0.00612279116508684,0.006122791,0.015303276386111975,0.015303278341889381
16,0.005963351341363575,0.0059633506,0.015367754269391298,0.01536775566637516
17,0.005735619168262929,0.0057356185,0.015281239384785294,0.015281240455806255
18,0.005530910218866276,0.0055309096,0.016204715333878995,0.01620471477508545
19,0.005466929879704757,0.0054669296,0.015489816712215543,0.015489816665649414
20,0.005607591532836003,0.0056075915,0.01550730476155877,0.015507304109632969
21,0.005330782568281783,0.005330784,0.014941680058836938,0.014941679313778877
22,0.00517687053319865,0.0051768706,0.01511441138572991,0.015114410780370235
23,0.005048219976015389,0.00504822,0.01591000845655799,0.015910007059574127
24,0.005091494366726173,0.005091494,0.015289819752797484,0.015289818868041039
25,0.004930006747599691,0.004930007,0.015189649350941182,0.01518965046852827
26,0.005215169389599136,0.0052151703,0.015661354642361403,0.01566135697066784
27,0.004960734688211232,0.0049607344,0.014958720747381448,0.014958721585571766
28,0.004720274324063212,0.0047202744,0.015021445881575345,0.015021445229649544
29,0.004911917592731438,0.0049119187,0.015828895010054113,0.015828896313905716
