epoch,loss,mae,val_loss,val_mae
0,0.017532680463045836,0.01753268,0.01830293578095734,0.018302934244275093
1,0.01617487677639084,0.016174877,0.01757629681378603,0.017576297745108604
2,0.015150141679415745,0.015150143,0.01829480133019388,0.0182948000729084
3,0.013637964617061828,0.013637964,0.016641676565632223,0.016641676425933838
4,0.01269882626033255,0.012698826,0.017005619965493678,0.017005618661642075
5,0.011070220162426786,0.011070221,0.019140875851735472,0.019140874966979027
6,0.010104123732474234,0.0101041235,0.017140545463189483,0.017140544950962067
7,0.009007971248190317,0.009007972,0.017796432320028543,0.017796432599425316
8,0.008826987279046858,0.008826988,0.018449848284944892,0.018449848517775536
9,0.007918377726205758,0.007918378,0.017779167974367738,0.017779164016246796
10,0.0072790941655901924,0.0072790943,0.017948216246441006,0.017948219552636147
11,0.007152654167397746,0.0071526556,0.01757980273105204,0.017579803243279457
12,0.0064834179123863574,0.006483418,0.0181965762283653,0.018196575343608856
13,0.006468050765605377,0.0064680493,0.018322363682091235,0.01832236535847187
14,0.005865332347873066,0.005865332,0.01809498402290046,0.018094981089234352
15,0.005825266789179296,0.0058252667,0.017825758061371745,0.017825758084654808
16,0.005748752103785851,0.005748752,0.018660931242629887,0.018660930916666985
17,0.005746190382965973,0.0057461904,0.01802354878745973,0.018023548647761345
18,0.00491806238424033,0.004918062,0.01750008501112461,0.01750008389353752
19,0.005240624610866819,0.0052406257,0.01778365666978061,0.01778365857899189
20,0.0048618489194528335,0.0048618494,0.01769129834137857,0.017691297456622124
21,0.005059875694236585,0.0050598755,0.01783131007105112,0.017831308767199516
22,0.004723147813430322,0.0047231484,0.017613901384174825,0.01761390082538128
23,0.004984501992086215,0.0049845017,0.0180804458912462,0.018080445006489754
24,0.004693385662644037,0.004693385,0.01778987334109843,0.017789874225854874
25,0.004435338402566101,0.004435338,0.017711064638569952,0.017711063846945763
26,0.0045358812004061685,0.0045358804,0.018073555221781133,0.018073556944727898
27,0.004394449641196323,0.0043944484,0.01786040822044015,0.01786040887236595
28,0.004653026937739923,0.004653027,0.017865907028317453,0.01786590740084648
29,0.004480171789016042,0.0044801724,0.017857624869793653,0.01785762421786785
